	subject_id	predicate_id	object_id	subject	object	predicate	value
38	http://www.bioassayontology.org/bao#BAO_0002095	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	bioinformatics method	computational method	subClassOf	1
39	http://www.bioassayontology.org/bao#BAO_0002090	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0000552	quantitative reverse transcription PCR	reverse transcription PCR	subClassOf	1
40	http://www.bioassayontology.org/bao#BAO_0002090	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0000552	quantitative reverse transcription PCR	reverse transcribed polymerase chain reaction	subClassOf	1
41	http://purl.obolibrary.org/obo/MMO_0000575	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002753	computational method	assay method component	subClassOf	1
42	http://purl.obolibrary.org/obo/MMO_0000496	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000448	histology	morphology assessment method	subClassOf	1
45	http://www.bioassayontology.org/bao#BAO_0000923	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	GeneBLAzer	assay kit	subClassOf	1
46	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000379	calcium redistribution assay	second messenger redistribution assay	subClassOf	1
47	http://www.bioassayontology.org/bao#BAO_0000649	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000819	calcium redistribution assay	ion redistribution assay	subClassOf	1
48	http://www.bioassayontology.org/bao#BAO_0002982	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Mitotic Index Kit	assay kit	subClassOf	1
49	http://www.bioassayontology.org/bao#BAO_0002983	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Multiparameter Cytotoxicity 1 Kit	assay kit	subClassOf	1
50	http://www.bioassayontology.org/bao#BAO_0002985	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Multiplexed p53 and p21 Detection Kit	assay kit	subClassOf	1
51	http://www.bioassayontology.org/bao#BAO_0002984	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Multiplexed NFκB and c-Jun Activation Kit	assay kit	subClassOf	1
52	http://purl.obolibrary.org/obo/OBI_0001146	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	binding assay	bioassay	subClassOf	1
53	http://www.bioassayontology.org/bao#BAO_0002986	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics p38 MAPK Activation Kit	assay kit	subClassOf	1
54	http://www.bioassayontology.org/bao#BAO_0002981	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics Cytoskeletal Rearrangement Kit	assay kit	subClassOf	1
55	http://www.bioassayontology.org/bao#BAO_0002980	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Cellomics c-Jun Activation Kit	assay kit	subClassOf	1
71	http://purl.obolibrary.org/obo/CHMO_0000701	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0040031	liquid chromatography-tandem mass spectrometry	size separation method	subClassOf	1
73	http://www.bioassayontology.org/bao#BAO_0000873	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Calcium 5 Assay Kit	assay kit	subClassOf	1
94	http://www.bioassayontology.org/bao#BAO_0002248	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	cheminformatics method	computational method	subClassOf	1
98	http://www.bioassayontology.org/bao#BAO_0002244	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0002567	sequence alignment by type	sequence alignment	subClassOf	1
99	http://www.bioassayontology.org/bao#BAO_0002241	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002240	ClustalW sequence alignment	Clustal sequence alignment	subClassOf	1
100	http://www.bioassayontology.org/bao#BAO_0002240	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002245	Clustal sequence alignment	multiple sequence alignment	subClassOf	1
101	http://www.bioassayontology.org/bao#BAO_0002240	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002239	Clustal sequence alignment	progressive system alignment	subClassOf	1
103	http://www.bioassayontology.org/bao#BAO_0002242	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002240	ClustalX sequence alignment	Clustal sequence alignment	subClassOf	1
105	http://www.bioassayontology.org/bao#BAO_0002778	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	cell permeability assay	bioassay	subClassOf	1
106	http://www.bioassayontology.org/bao#BAO_0002776	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0001146	radioligand binding assay	binding assay	subClassOf	1
107	http://www.bioassayontology.org/bao#BAO_0002779	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	protein unfolding assay	bioassay	subClassOf	1
117	http://www.bioassayontology.org/bao#BAO_0140038	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	LanthaScreen Tb-Ubiquitin Assay	assay kit	subClassOf	1
118	http://www.bioassayontology.org/bao#BAO_0140032	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Sensolyte 520 HCV Protease Assay Kit (AnaSpec)	assay kit	subClassOf	1
119	http://www.bioassayontology.org/bao#BAO_0140034	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	FluoZin-2 AM fluorescent assay of zinc concentration	assay kit	subClassOf	1
120	http://www.bioassayontology.org/bao#BAO_0140031	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	CDP-Star alkaline phosphatase assay system	assay kit	subClassOf	1
121	http://www.bioassayontology.org/bao#BAO_0140035	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Phospho-ERK1/2 (Thr202/Tyr204) Cellular Assay Kit (Cisbio)	assay kit	subClassOf	1
123	http://www.bioassayontology.org/bao#BAO_0140033	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	EnzyChrom Aspartate Transaminase Assay Kit (BioAssay Systems)	assay kit	subClassOf	1
124	http://www.bioassayontology.org/bao#BAO_0140037	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	insulin ELISA kit (Alpco)	assay kit	subClassOf	1
125	http://www.bioassayontology.org/bao#BAO_0140036	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	IMAP Assay of phosphoproteins (Molecular Devices)	assay kit	subClassOf	1
126	http://www.bioassayontology.org/bao#BAO_0140039	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	LanthaScreen Tb-Streptavidin Binding Assay	assay kit	subClassOf	1
138	http://www.bioassayontology.org/bao#BAO_0002155	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002198	silencing RNA delivery method	delivery method	subClassOf	1
158	http://www.bioassayontology.org/bao#BAO_0002306	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002305	linear QSAR	quantitative structure activity relationship analysis	subClassOf	1
160	http://www.bioassayontology.org/bao#BAO_0002309	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002305	non-linear QSAR	quantitative structure activity relationship analysis	subClassOf	1
161	http://www.bioassayontology.org/bao#BAO_0002305	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000575	quantitative structure activity relationship analysis	computational method	subClassOf	1
162	http://www.bioassayontology.org/bao#BAO_0002305	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002410	quantitative structure activity relationship analysis	structure activity relationship analysis	subClassOf	1
167	http://purl.obolibrary.org/obo/OBI_0001148	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002431	gene knock out	gene expression modulation method	subClassOf	1
172	http://www.bioassayontology.org/bao#BAO_0002440	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0002625	gene knockdown by morpholino treatment	gene knockdown	subClassOf	1
195	http://www.bioassayontology.org/bao#BAO_0002460	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002462	sulforhodamine B staining	colorimetric protein staining method	subClassOf	1
196	http://www.bioassayontology.org/bao#BAO_0002460	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002455	sulforhodamine B staining	colorimetric cell staining method	subClassOf	1
199	http://purl.obolibrary.org/obo/MMO_0000426	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002462	Bradford protein assay	colorimetric protein staining method	subClassOf	1
202	http://www.bioassayontology.org/bao#BAO_0002461	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002481	trypan blue cell staining	dye exclusion method	subClassOf	1
203	http://www.bioassayontology.org/bao#BAO_0002461	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002455	trypan blue cell staining	colorimetric cell staining method	subClassOf	1
207	http://purl.obolibrary.org/obo/OBI_0003369	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003112	assay kit	assay bioassay component	subClassOf	1
212	http://www.bioassayontology.org/bao#BAO_0000245	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002155	transfection method	silencing RNA delivery method	subClassOf	1
213	http://www.bioassayontology.org/bao#BAO_0000245	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000241	transfection method	genetic modification method	subClassOf	1
214	http://www.bioassayontology.org/bao#BAO_0000247	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000245	transient transfection	transfection method	subClassOf	1
215	http://www.bioassayontology.org/bao#BAO_0000246	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000245	stable transfection	transfection method	subClassOf	1
220	http://www.bioassayontology.org/bao#BAO_0010060	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003583	MEMA cell growth assay	cell viability assay	subClassOf	1
221	http://www.bioassayontology.org/bao#BAO_0010060	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002991	MEMA cell growth assay	cell morphology assay	subClassOf	1
222	http://www.bioassayontology.org/bao#BAO_0010060	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002100	MEMA cell growth assay	cell growth assay	subClassOf	1
225	http://www.bioassayontology.org/bao#BAO_0010066	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0002958	SWATH-MS protein quantification assay	SWATH-MS protein profiling assay	subClassOf	1
230	http://www.bioassayontology.org/bao#BAO_0000004	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000064	time resolved fluorescence resonance energy transfer	fluorescence resonance energy transfer	subClassOf	1
231	http://purl.obolibrary.org/obo/CHMO_0000064	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000046	fluorescence resonance energy transfer	fluorescence method	subClassOf	1
232	http://www.bioassayontology.org/bao#BAO_0000002	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000064	homogeneous time resolved fluorescence	fluorescence resonance energy transfer	subClassOf	1
233	http://purl.obolibrary.org/obo/CHMO_0000061	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000046	flow cytometry	fluorescence method	subClassOf	1
237	http://www.bioassayontology.org/bao#BAO_0003109	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	KINOMEscan kit	assay kit	subClassOf	1
241	http://www.bioassayontology.org/bao#BAO_0140040	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	PathHunter U2OS Keap1-NRF2 Nuclear Translocation Assay (DiscoverX)	assay kit	subClassOf	1
242	http://www.bioassayontology.org/bao#BAO_0140046	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	CellTiter-Fluor Cell Viability Assay Kit	assay kit	subClassOf	1
243	http://www.bioassayontology.org/bao#BAO_0140047	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	HEPATOPAC® co-culture kit	assay kit	subClassOf	1
244	http://www.bioassayontology.org/bao#BAO_0140041	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	qScript One-step Fast qRT-PCR kit (QuantaBioSciences)	assay kit	subClassOf	1
246	http://www.bioassayontology.org/bao#BAO_0140043	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Ub-CHOP2-Reporter-Kit (LifeSensors Inc.)	assay kit	subClassOf	1
263	http://www.bioassayontology.org/bao#BAO_0010081	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010080	TRUPath	Heterotrimeric G-protein dissassociation assay	subClassOf	1
264	http://www.bioassayontology.org/bao#BAO_0010081	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0010077	TRUPath	GPCR Signaling	subClassOf	1
265	http://www.bioassayontology.org/bao#BAO_0010081	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002990	TRUPath	protein-protein interaction assay	subClassOf	1
270	http://www.bioassayontology.org/bao#BAO_0010082	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	drug absorption assay	bioassay	subClassOf	1
276	http://www.bioassayontology.org/bao#BAO_0000573	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002198	perturbagen delivery method	delivery method	subClassOf	1
281	http://www.bioassayontology.org/bao#BAO_0002198	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002429	delivery method	assay supporting method	subClassOf	1
283	http://www.bioassayontology.org/bao#BAO_0002196	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	localization assay	bioassay	subClassOf	1
308	http://www.bioassayontology.org/bao#BAO_0010157	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002188	enzyme inhibition assay	drug interaction assay	subClassOf	1
315	http://purl.obolibrary.org/obo/CHMO_0000120	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	scanning near-field optical microscopy	optical microscopy	subClassOf	1
316	http://purl.obolibrary.org/obo/CHMO_0000120	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	scanning near-field optical microscopy	light microscopy assay	subClassOf	1
318	http://www.bioassayontology.org/bao#BAO_0002513	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	vibrational spectroscopic imaging	optical microscopy	subClassOf	1
319	http://www.bioassayontology.org/bao#BAO_0002513	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	vibrational spectroscopic imaging	light microscopy assay	subClassOf	1
320	http://www.bioassayontology.org/bao#BAO_0002515	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002513	Raman imaging	vibrational spectroscopic imaging	subClassOf	1
321	http://www.bioassayontology.org/bao#BAO_0002516	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002513	infrared imaging	vibrational spectroscopic imaging	subClassOf	1
322	http://purl.obolibrary.org/obo/CHMO_0002177	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	dark-field microscopy	optical microscopy	subClassOf	1
323	http://purl.obolibrary.org/obo/CHMO_0002177	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	dark-field microscopy	light microscopy assay	subClassOf	1
324	http://purl.obolibrary.org/obo/CHMO_0000107	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	differential interference contrast microscopy	optical microscopy	subClassOf	1
325	http://purl.obolibrary.org/obo/CHMO_0000107	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	differential interference contrast microscopy	light microscopy assay	subClassOf	1
330	http://www.bioassayontology.org/bao#BAO_0000689	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	ATPLite Luminescence Assay System	assay kit	subClassOf	1
333	http://www.bioassayontology.org/bao#BAO_0000686	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	britelite plus	assay kit	subClassOf	1
338	http://www.bioassayontology.org/bao#BAO_0002907	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0002196	allosteric activation	activation	subClassOf	1
339	http://purl.obolibrary.org/obo/OBI_0002964	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0001146	KiNativ assay	binding assay	subClassOf	1
340	http://www.bioassayontology.org/bao#BAO_0002906	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0002196	partial activation	activation	subClassOf	1
341	http://www.bioassayontology.org/bao#BAO_0010223	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	pharmacometrics	bioassay	subClassOf	1
345	http://www.bioassayontology.org/bao#BAO_0010226	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	other pharmacokinetic studies	bioassay	subClassOf	1
347	http://www.bioassayontology.org/bao#BAO_0010225	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	method development and validation	bioassay	subClassOf	1
361	http://www.bioassayontology.org/bao#BAO_0002732	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	Phospho(Thr180/Tyr182)/Total p38 Assay Whole Cell Lysate Kit	assay kit	subClassOf	1
377	http://www.bioassayontology.org/bao#BAO_0002420	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000075	fluorescence-linked immunosorbent assay	enzyme linked immunosorbent assay	subClassOf	1
378	http://purl.obolibrary.org/obo/MMO_0000073	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000466	radioimmunoassay	ex situ immunoassay	subClassOf	1
381	http://www.bioassayontology.org/bao#BAO_0002421	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000075	sandwich ELISA	enzyme linked immunosorbent assay	subClassOf	1
387	http://www.bioassayontology.org/bao#BAO_0000948	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	IP-One HTRF Assay	assay kit	subClassOf	1
388	http://www.bioassayontology.org/bao#BAO_0000940	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	HTScan IKK-beta Kinase Assay Kit	assay kit	subClassOf	1
389	http://www.bioassayontology.org/bao#BAO_0000942	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	HTScan PKC-theta Kinase Assay Kit	assay kit	subClassOf	1
390	http://www.bioassayontology.org/bao#BAO_0000941	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	HTScan PKC-beta Kinase Assay Kit	assay kit	subClassOf	1
394	http://purl.obolibrary.org/obo/CHMO_0000094	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000087	total internal reflection fluorescence microscopy	fluorescence microscopy	subClassOf	1
395	http://purl.obolibrary.org/obo/CHMO_0000094	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000087	total internal reflection fluorescence microscopy	fluorescence microscopy assay	subClassOf	1
408	http://purl.obolibrary.org/obo/CHMO_0002536	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002413	volumetric titration	titration method	subClassOf	1
410	http://www.bioassayontology.org/bao#BAO_0002450	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0002445	nucleic acid amplification method	genotyping method	subClassOf	1
411	http://www.bioassayontology.org/bao#BAO_0002450	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0003034	nucleic acid amplification method	nucleic acid identification and quantitation method	subClassOf	1
420	http://www.bioassayontology.org/bao#BAO_0010072	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/MMO_0000441	parallel artificial membrane permeability assay	bioassay	subClassOf	1
422	http://www.bioassayontology.org/bao#BAO_0010079	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/OBI_0003369	PRESTO-TANGO	assay kit	subClassOf	1
427	http://purl.obolibrary.org/obo/CHMO_0000104	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	bright-field microscopy	optical microscopy	subClassOf	1
428	http://purl.obolibrary.org/obo/CHMO_0000104	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	bright-field microscopy	light microscopy assay	subClassOf	1
429	http://purl.obolibrary.org/obo/CHMO_0001077	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://www.bioassayontology.org/bao#BAO_0000427	quartz crystal microbalance	label free method	subClassOf	1
430	http://purl.obolibrary.org/obo/CHMO_0000110	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	phase contrast microscopy	optical microscopy	subClassOf	1
431	http://purl.obolibrary.org/obo/CHMO_0000110	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	phase contrast microscopy	light microscopy assay	subClassOf	1
432	http://purl.obolibrary.org/obo/CHMO_0000112	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000067	scanning probe microscopy	microscopy	subClassOf	1
433	http://purl.obolibrary.org/obo/CHMO_0000102	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000067	optical microscopy	microscopy	subClassOf	1
434	http://purl.obolibrary.org/obo/CHMO_0000102	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000067	light microscopy assay	microscopy	subClassOf	1
436	http://purl.obolibrary.org/obo/MMO_0000685	http://www.w3.org/2000/01/rdf-schema#subClassOf	http://purl.obolibrary.org/obo/CHMO_0000102	confocal microscopy	optical microscopy	subClassOf	1
